date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:51	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
20:17:51	5796/5796	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2014:47:51%20GMT	https://preview.colorlib.com/theme/cassi/	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/index.html	(from )
20:17:51	24636/24636	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css	(from https://preview.colorlib.com/theme/cassi/)
20:17:51	19458/19458	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/css/A.style.css.pagespeed.cf.tzW3JrdnxI.css	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/css/A.style.css.pagespeed.cf.tzW3JrdnxI.css	(from https://preview.colorlib.com/theme/cassi/)
20:17:51	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2014:47:52%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/cassi/)
20:17:52	5817/5817	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2014:47:52%20GMT	https://preview.colorlib.com/theme/cassi/index.html	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/index-2.html	(from https://preview.colorlib.com/theme/cassi/)
20:17:52	1244/1244	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/img/xlogo.png.pagespeed.ic.d-wnQsIa34.png	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/img/xlogo.png.pagespeed.ic.d-wnQsIa34.png	(from https://preview.colorlib.com/theme/cassi/)
20:17:53	8807/8807	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2014:47:53%20GMT	https://preview.colorlib.com/theme/cassi/gallery.html	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/gallery.html	(from https://preview.colorlib.com/theme/cassi/)
20:17:53	7881/7881	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2014:47:53%20GMT	https://preview.colorlib.com/theme/cassi/blog.html	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/blog.html	(from https://preview.colorlib.com/theme/cassi/)
20:17:54	9593/9593	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2014:47:54%20GMT	https://preview.colorlib.com/theme/cassi/about.html	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/about.html	(from https://preview.colorlib.com/theme/cassi/)
20:17:54	5600/5600	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2014:47:54%20GMT	https://preview.colorlib.com/theme/cassi/contact.html	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/contact.html	(from https://preview.colorlib.com/theme/cassi/)
20:17:55	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215283-59c6a6b2b0080%22	https://preview.colorlib.com/theme/cassi/js/vendor/jquery-3.2.1.min.js	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/js/vendor/jquery-3.2.1.min.js	(from https://preview.colorlib.com/theme/cassi/)
20:17:55	60010/60010	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ea6a-59c6a672ca9c0%22	https://preview.colorlib.com/theme/cassi/js/bootstrap.min.js	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/cassi/)
20:17:55	70085/70085	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/cassi/js/owl.carousel.min.js+masonry.pkgd.min.js.pagespeed.jc.N2mEFGZLwT.js	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/js/owl.carousel.min.js+masonry.pkgd.min.js.pagespeed.jc.N2mEFGZLwT.js	(from https://preview.colorlib.com/theme/cassi/)
20:17:56	2074/2074	---MCZ	200	added ('OK')	application/javascript	etag:W/%2281a-59c6a673bec00%22	https://preview.colorlib.com/theme/cassi/js/main.js	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/js/main.js	(from https://preview.colorlib.com/theme/cassi/)
20:17:56	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-59c6a65ec3a80%22	https://preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont3e6e.eot	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:17:56	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-59c6a65ec3a80%22	https://preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfontd41d.eot	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:17:57	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-59c6a660abf00%22	https://preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont3e6e.woff2	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:17:57	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-59c6a65fb7cc0%22	https://preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont3e6e.woff	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
20:17:57	1752/1752	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2014:47:57%20GMT	https://preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/cassi(colorlib)/preview.colorlib.com/theme/cassi/icon-fonts/fontawesome-webfont3e6e.ttf	(from https://preview.colorlib.com/theme/cassi/css/bootstrap.min.css+font-awesome.min.css+elegant-icons.css+owl.carousel.min.css.pagespeed.cc.8t78HUycpQ.css)
